,Park Name,Taxon Group,Scientific Name,Common Name,Occurrence
0,Glacier National Park,Mammal,Oreamnos americanus,mountain goat,Present
1,Glacier National Park,Mammal,Ovis canadensis,bighorn sheep,Present
2,Glacier National Park,Mammal,Alces alces,moose,Present
3,Glacier National Park,Mammal,Cervus elaphus,elk,Present
4,Glacier National Park,Mammal,Odocoileus hemionus,mule deer,Present
5,Glacier National Park,Mammal,Odocoileus virginianus,white-tailed deer,Present
6,Glacier National Park,Mammal,Canis latrans,coyote,Present
7,Glacier National Park,Mammal,Canis lupus,gray wolf,Present
8,Glacier National Park,Mammal,Vulpes vulpes,red fox,Present
9,Glacier National Park,Mammal,Lynx canadensis,lynx,Present
10,Glacier National Park,Mammal,Lynx rufus,bobcat,Present
11,Glacier National Park,Mammal,Puma concolor,mountain lion,Present
12,Glacier National Park,Mammal,Mephitis mephitis,striped skunk,Present
13,Glacier National Park,Mammal,Gulo gulo,wolverine,Present
14,Glacier National Park,Mammal,Lutra canadensis,river otter,Present
15,Glacier National Park,Mammal,Martes americana,marten,Present
16,Glacier National Park,Mammal,Martes pennanti,fisher,Present
17,Glacier National Park,Mammal,Mustela erminea,short-tailed weasel,Present
18,Glacier National Park,Mammal,Mustela frenata,long-tailed weasel,Present
19,Glacier National Park,Mammal,Mustela nivalis,least weasel,Present
20,Glacier National Park,Mammal,Mustela vison,mink,Present
21,Glacier National Park,Mammal,Taxidea taxus,badger,Present
22,Glacier National Park,Mammal,Procyon lotor,racoon,Present
23,Glacier National Park,Mammal,Ursus americanus,black bear,Present
24,Glacier National Park,Mammal,Ursus arctos horribilis,Grizzly bear,Present
25,Glacier National Park,Mammal,Eptesicus fuscus,big brown bat,Present
26,Glacier National Park,Mammal,Lasionycteris noctivagans,silver-haired bat,Present
27,Glacier National Park,Mammal,Lasiurus cinereus,hoary bat,Probably Present
28,Glacier National Park,Mammal,Myotis evotis,long-eared bat,Present
29,Glacier National Park,Mammal,Myotis lucifugus,little brown bat,Present
30,Glacier National Park,Mammal,Myotis volans,long-legged bat,Probably Present
31,Glacier National Park,Mammal,Lepus americanus,snowshoe hare,Present
32,Glacier National Park,Mammal,Lepus townsendii,white-tailed jackrabbit,Present
33,Glacier National Park,Mammal,Ochotona princeps,pika,Present
34,Glacier National Park,Mammal,Castor canadensis,beaver,Present
35,Glacier National Park,Mammal,Clethrionomys gapperi,red-backed vole,Present
36,Glacier National Park,Mammal,Microtus longicaudus,long-tailed vole,Present
37,Glacier National Park,Mammal,Microtus pennsylvanicus,meadow vole,Present
38,Glacier National Park,Mammal,Microtus richardsoni,water vole,Present
39,Glacier National Park,Mammal,Neotoma cinerea,bushy-tailed wood rat,Present
40,Glacier National Park,Mammal,Ondatra zibethicus,muskrat,Present
41,Glacier National Park,Mammal,Peromyscus maniculatus,deer mouse,Present
42,Glacier National Park,Mammal,Phenacomys intermedius,montane heather vole,Present
43,Glacier National Park,Mammal,Synaptomys borealis,northern bog lemming,Present
44,Glacier National Park,Mammal,Zapus princeps,western jumping mouse,Present
45,Glacier National Park,Mammal,Erethizon dorsatum,porcupine,Present
46,Glacier National Park,Mammal,Thomomys talpoides,northern pocket gopher,Present
47,Glacier National Park,Mammal,Eutamias minimus,least chipmunk,Probably Present
48,Glacier National Park,Mammal,Glaucomys sabrinus,northern flying squirrel,Present
49,Glacier National Park,Mammal,Marmota caligata,hoary marmot,Present
50,Glacier National Park,Mammal,Marmota flaviventris,yellow-bellied marmot,Present
51,Glacier National Park,Mammal,Spermophilus columbianus,Columbian ground squirrel,Present
52,Glacier National Park,Mammal,Spermophilus lateralis,golden-mantled ground squirrel,Present
53,Glacier National Park,Mammal,Spermophilus richardsonii,richardson's ground squirrel,Present
54,Glacier National Park,Mammal,Spermophilus tridecemlineatus,thirteen-lined ground squirrel,Present
55,Glacier National Park,Mammal,Tamias amoenus,chipmunk (yellow pine),Present
56,Glacier National Park,Mammal,Tamias ruficaudus,chipmunk (red tailed),Present
57,Glacier National Park,Mammal,Tamiasciurus hudsonicus,red squirrel,Present
58,Glacier National Park,Mammal,Sorex cinereus,masked shrew,Present
59,Glacier National Park,Mammal,Sorex hoyi,pygmy shrew,Probably Present
60,Glacier National Park,Mammal,Sorex monticolus,montane shrew,Present
61,Glacier National Park,Mammal,Sorex palustris,northern water shrew,Present
62,Glacier National Park,Mammal,Sorex vagrans,vagrant shrew,Present
63,Glacier National Park,Bird,Accipiter cooperii,Cooper's Hawk,Present
64,Glacier National Park,Bird,Accipiter gentilis,Northern Goshawk,Present
65,Glacier National Park,Bird,Accipiter striatus,Sharp-shinned Hawk,Present
66,Glacier National Park,Bird,Aquila chrysaetos,Golden Eagle,Present
67,Glacier National Park,Bird,Buteo jamaicensis,Red-tailed Hawk,Present
68,Glacier National Park,Bird,Buteo lagopus,Rough-legged Hawk,Present
69,Glacier National Park,Bird,Buteo platypterus,Broad-winged Hawk,Present
70,Glacier National Park,Bird,Buteo regalis,Ferruginous Hawk,Present
71,Glacier National Park,Bird,Buteo swainsoni,Swainson's Hawk,Present
72,Glacier National Park,Bird,Circus cyaneus,Northern Harrier,Present
73,Glacier National Park,Bird,Haliaeetus leucocephalus,Bald Eagle,Present
74,Glacier National Park,Bird,Cathartes aura,Turkey Vulture,Present
75,Glacier National Park,Bird,Pandion haliaetus,Osprey,Present
76,Glacier National Park,Bird,Aix sponsa,Wood Duck,Present
77,Glacier National Park,Bird,Anas acuta,Northern Pintail,Present
78,Glacier National Park,Bird,Anas americana,American Wigeon,Present
79,Glacier National Park,Bird,Anas clypeata,Northern Shoveler,Present
80,Glacier National Park,Bird,Anas crecca,Green-winged Teal,Present
81,Glacier National Park,Bird,Anas cyanoptera,Cinnamon Teal,Present
82,Glacier National Park,Bird,Anas discors,Blue-winged Teal,Present
83,Glacier National Park,Bird,Anas penelope,Eurasian Wigeon,Present
84,Glacier National Park,Bird,Anas platyrhynchos,Mallard,Present
85,Glacier National Park,Bird,Anas strepera,Gadwall,Present
86,Glacier National Park,Bird,Aythya affinis,Lesser Scaup,Present
87,Glacier National Park,Bird,Aythya americana,Redhead,Present
88,Glacier National Park,Bird,Aythya collaris,Ring-necked Duck,Present
89,Glacier National Park,Bird,Aythya marila,Greater Scaup,Present
90,Glacier National Park,Bird,Aythya valisineria,Canvasback,Present
91,Glacier National Park,Bird,Branta canadensis,Canada Goose,Present
92,Glacier National Park,Bird,Bucephala albeola,Bufflehead,Present
93,Glacier National Park,Bird,Bucephala clangula,Common Goldeneye,Present
94,Glacier National Park,Bird,Bucephala islandica,Barrow's Goldeneye,Present
95,Glacier National Park,Bird,Chen caerulescens,Snow Goose,Present
96,Glacier National Park,Bird,Chen rossii,Ross' Goose,Present
97,Glacier National Park,Bird,Clangula hyemalis,Long-tailed Duck (Oldsquaw),Present
98,Glacier National Park,Bird,Cygnus buccinator,Trumpeter Swan,Present
99,Glacier National Park,Bird,Cygnus columbianus,Tundra Swan,Present
100,Glacier National Park,Bird,Histrionicus histrionicus,Harlequin Duck,Present
101,Glacier National Park,Bird,Lophodytes cucullatus,Hooded Merganser,Present
102,Glacier National Park,Bird,Melanitta fusca,White-winged Scoter,Present
103,Glacier National Park,Bird,Melanitta perspicillata,Surf Scoter,Present
104,Glacier National Park,Bird,Mergus merganser,Common Merganser,Present
105,Glacier National Park,Bird,Mergus serrator,Red-breasted Merganser,Present
106,Glacier National Park,Bird,Oxyura jamaicensis,Ruddy Duck,Present
107,Glacier National Park,Bird,Chaetura vauxi,Vaux's Swift,Present
108,Glacier National Park,Bird,Cypseloides niger,Black Swift,Present
109,Glacier National Park,Bird,Archilochus alexandri,Black-chinned Hummingbird,Present
110,Glacier National Park,Bird,Selasphorus platycercus,Broad-tailed Hummingbird,Present
111,Glacier National Park,Bird,Selasphorus rufus,Rufous Hummingbird,Present
112,Glacier National Park,Bird,Stellula calliope,Calliope Hummingbird,Present
113,Glacier National Park,Bird,Chordeiles minor,Common Nighthawk,Present
114,Glacier National Park,Bird,Charadrius semipalmatus,Semipalmated Plover,Present
115,Glacier National Park,Bird,Charadrius vociferus,Killdeer,Present
116,Glacier National Park,Bird,Pluvialis squatarola,"Black-bellied Plover, Gray Plover",Present
117,Glacier National Park,Bird,Chlidonias niger,Black Tern,Present
118,Glacier National Park,Bird,Larus argentatus,Herring Gull,Present
119,Glacier National Park,Bird,Larus californicus,California Gull,Present
120,Glacier National Park,Bird,Larus delawarensis,Ring-billed Gull,Present
121,Glacier National Park,Bird,Larus glaucescens,Glaucous-winged Gull,Present
122,Glacier National Park,Bird,Larus hyperboreus,Glaucous Gull,Present
123,Glacier National Park,Bird,Larus philadelphia,Bonaparte's Gull,Present
124,Glacier National Park,Bird,Larus pipixcan,Franklin's Gull,Present
125,Glacier National Park,Bird,Rissa tridactyla,Black-legged Kittiwake,Present
126,Glacier National Park,Bird,Sterna caspia,Caspian Tern,Present
127,Glacier National Park,Bird,Sterna hirundo,Common Tern,Present
128,Glacier National Park,Bird,Recurvirostra americana,American Avocet,Present
129,Glacier National Park,Bird,Actitis macularia,Spotted Sandpiper,Present
130,Glacier National Park,Bird,Calidris bairdii,Baird's Sandpiper,Present
131,Glacier National Park,Bird,Calidris mauri,Western Sandpiper,Present
132,Glacier National Park,Bird,Calidris melanotos,Pectoral Sandpiper,Present
133,Glacier National Park,Bird,Catoptrophorus semipalmatus,Willet,Present
134,Glacier National Park,Bird,Gallinago gallinago,Common Snipe,Present
135,Glacier National Park,Bird,Limnodromus scolopaceus,Long-billed Dowitcher,Present
136,Glacier National Park,Bird,Limosa fedoa,Marbled Godwit,Present
137,Glacier National Park,Bird,Numenius americanus,Long-billed Curlew,Present
138,Glacier National Park,Bird,Phalaropus lobatus,Red-necked Phalarope,Present
