,Common Name,Scientific Name,Status,Taxon Group
0,Addax,Addax nasomaculatus,Endangered,Mammal
1,"Anoa, lowland",Bubalus depressicornis,Endangered,Mammal
2,"Anoa, mountain",Bubalus quarlesi,Endangered,Mammal
3,"Antelope, giant sable",Hippotragus niger variani,Endangered,Mammal
4,"Antelope, Tibetan",Panthalops hodgsonii,Endangered,Mammal
5,"Argali [All populations except Kyrgyzstan, Mongolia, and Tajikistan]",Ovis ammon,Endangered,Mammal
6,"Argali [Kyrgyzstan, Mongolia, and Tajikistan]",Ovis ammon,Threatened,Mammal
7,"Armadillo, giant",Priodontes maximus,Endangered,Mammal
8,"Armadillo, pink fairy",Chlamyphorus truncatus,Endangered,Mammal
9,"Ass, African wild",Equus africanus,Endangered,Mammal
10,"Ass, Asian wild",Equus hemionus,Endangered,Mammal
11,Avahi,Avahi laniger(=entire genus),Endangered,Mammal
12,Aye-aye,Daubentonia madagascariensis,Endangered,Mammal
13,Babirusa,Babyrousa babyrussa,Endangered,Mammal
14,"Baboon, gelada",Theropithecus gelada,Threatened,Mammal
15,"Bandicoot, barred",Perameles bougainville,Endangered,Mammal
16,"Bandicoot, desert",Perameles eremiana,Endangered,Mammal
17,"Bandicoot, lesser rabbit",Macrotis leucura,Endangered,Mammal
18,"Bandicoot, pig-footed",Chaeropus ecaudatus,Endangered,Mammal
19,"Bandicoot, rabbit",Macrotis lagotis,Endangered,Mammal
20,Banteng,Bos javanicus,Endangered,Mammal
21,"Bat, Bulmer's fruit (flying fox)",Aproteles bulmerae,Endangered,Mammal
22,"Bat, bumblebee",Craseonycteris thonglongyai,Endangered,Mammal
23,"Bat, Florida bonneted",Eumops floridanus,Endangered,Mammal
24,"Bat, gray",Myotis grisescens,Endangered,Mammal
25,"Bat, Hawaiian hoary",Lasiurus cinereus semotus,Endangered,Mammal
26,"Bat, Indiana",Myotis sodalis,Endangered,Mammal
27,"Bat, little Mariana fruit",Pteropus tokudae,Endangered,Mammal
28,"Fruit Bat, Mariana (=fanihi, Mariana flying fox)",Pteropus mariannus mariannus,Threatened,Mammal
29,"Bat, Mexican long-nosed",Leptonycteris nivalis,Endangered,Mammal
30,"Bat, northern long-eared",Myotis septentrionalis,Threatened,Mammal
31,"Bat, Ozark big-eared",Corynorhinus (=Plecotus) townsendii ingens,Endangered,Mammal
32,"Bat, Pacific sheath-tailed (Mariana subspecies) (Payeyi, Paischeey)",Emballonura semicaudata rotensis,Endangered,Mammal
33,"Bat, Pacific sheath-tailed (South Pacific subspecies) (= peapea vai, American Samoa; = tagiti, Samoa; = beka beka, Fiji)",Emballonura semicaudata semicaudata,Endangered,Mammal
34,"Bat, Rodrigues fruit (flying fox)",Pteropus rodricensis,Endangered,Mammal
35,"Bat, Singapore roundleaf horseshoe",Hipposideros ridleyi,Endangered,Mammal
36,"Bat, Virginia big-eared",Corynorhinus (=Plecotus) townsendii virginianus,Endangered,Mammal
37,"Bear, Baluchistan",Ursus thibetanus gedrosianus,Endangered,Mammal
38,"Bear, brown [Italy]",Ursus arctos arctos,Endangered,Mammal
39,"Bear, brown",Ursus arctos pruinosus,Endangered,Mammal
40,"Bear, grizzly",Ursus arctos horribilis,Threatened,Mammal
41,"Bear, grizzly",Ursus arctos horribilis,XN,Mammal
42,"Bear, Mexican grizzly",Ursus arctos,Endangered,Mammal
43,"Bear, polar",Ursus maritimus,Threatened,Mammal
44,Beaver (Mongolia),Castor fiber birulai,Endangered,Mammal
45,"Bison, wood",Bison bison athabascae,Threatened,Mammal
46,"Bison, wood",Bison bison athabascae,XN,Mammal
47,"Bobcat, Mexican",Lynx (=Felis) rufus escuinapae,Endangered,Mammal
48,Bontebok (antelope),Damaliscus pygarus (=dorcas) dorcas,Endangered,Mammal
49,"Camel, Bactrian",Camelus bactrianus,Endangered,Mammal
50,"Caribou, woodland [Southern Selkirk Mountains DPS]",Rangifer tarandus caribou,Endangered,Mammal
51,"Cat, Andean",Felis jacobita,Endangered,Mammal
52,"Cat, Asian golden (=Temminck's)",Catopuma (=Felis) temminckii,Endangered,Mammal
53,"Cat, black-footed",Felis nigripes,Endangered,Mammal
54,"Cat, flat-headed",Prionailurus (=Felis) planiceps,Endangered,Mammal
55,"Cat, Iriomote",Prionailurus (=Felis) bengalensis iriomotensis,Endangered,Mammal
56,"Cat, leopard",Prionailurus (=Felis) bengalensis bengalensis,Endangered,Mammal
57,"Cat, marbled",Pardofelis (=Felis) marmorata,Endangered,Mammal
58,"Cat, Pakistan sand",Felis margarita scheffeli,Endangered,Mammal
59,"Cat, tiger",Leopardus (=Felis) tigrinus,Endangered,Mammal
60,"Chamois, Apennine",Rupicapra rupicapra ornata,Endangered,Mammal
61,Cheetah,Acinonyx jubatus,Endangered,Mammal
62,Chimpanzee,Pan troglodytes,Endangered,Mammal
63,"Chimpanzee, pygmy",Pan paniscus,Endangered,Mammal
64,Chinchilla,Chinchilla brevicaudata boliviana,Endangered,Mammal
65,"Civet, Malabar large-spotted",Viverra civettina (=megaspila c.),Endangered,Mammal
66,"Deer, Bactrian",Cervus elaphus bactrianus,Endangered,Mammal
67,"Deer, Barbary",Cervus elaphus barbarus,Endangered,Mammal
68,"Deer, Calamianes (=Philippine)",Axis porcinus calamianensis,Endangered,Mammal
69,"Deer, Cedros Island mule",Odocoileus hemionus cedrosensis,Endangered,Mammal
70,"Deer, Columbian white-tailed [Columbia River DPS]",Odocoileus virginianus leucurus,Threatened,Mammal
71,"Deer, Corsican red",Cervus elaphus corsicanus,Endangered,Mammal
72,"Deer, Eld's brow-antlered",Cervus eldi,Endangered,Mammal
73,"Deer, Formosan sika",Cervus nippon taiouanus,Endangered,Mammal
74,"Deer, Indochina hog",Axis (=Cervus) porcinus annamiticus,Endangered,Mammal
75,"Deer, key",Odocoileus virginianus clavium,Endangered,Mammal
76,"Deer, Kuhl's (=Bawean)",Axis porcinus kuhli,Endangered,Mammal
77,"Deer, marsh",Blastocerus dichotomus,Endangered,Mammal
78,"Deer, McNeill's",Cervus elaphus macneilii,Endangered,Mammal
79,"Deer, musk",Moschus spp. (all species),Endangered,Mammal
80,"Deer, North China sika",Cervus nippon mandarinus,Endangered,Mammal
81,"Deer, pampas",Ozotoceros bezoarticus,Endangered,Mammal
82,"Deer, Persian fallow",Dama mesopotamica (=dama m.),Endangered,Mammal
83,"Deer, Ryukyu sika",Cervus nippon keramae,Endangered,Mammal
84,"Deer, Shansi sika",Cervus nippon grassianus,Endangered,Mammal
85,"Deer, South China sika",Cervus nippon kopschi,Endangered,Mammal
86,"Deer, swamp",Cervus duvauceli,Endangered,Mammal
87,"Deer, Visayan",Cervus alfredi,Endangered,Mammal
88,"Deer, Yarkand",Cervus elaphus yarkandensis,Endangered,Mammal
89,Dhole,Cuon alpinus,Endangered,Mammal
90,Dibbler,Antechinus apicalis,Endangered,Mammal
91,"Dog, African wild",Lycaon pictus,Endangered,Mammal
92,"Dolphin, Chinese river",Lipotes vexillifer,Endangered,Mammal
93,"Dolphin, South Asian River (Indus River subspecies)",Platanista gangetica minor,Endangered,Mammal
94,"Dolphin, South Island Hector's",Cephalorhynchus hectori hectori,Endangered,Mammal
95,"Dolphin, Maui",Cephalorhynchus hectori maui,Endangered,Mammal
96,Drill,Mandrillus (=Papio) leucophaeus,Endangered,Mammal
97,Dugong,Dugong dugon,Endangered,Mammal
98,"Duiker, Jentink's",Cephalophus jentinki,Endangered,Mammal
99,"Eland, western giant",Taurotragus derbianus derbianus,Endangered,Mammal
100,"Elephant, African",Loxodonta africana,Threatened,Mammal
101,"Elephant, Asian",Elephas maximus,Endangered,Mammal
102,"Ferret, black-footed",Mustela nigripes,Endangered,Mammal
103,"Ferret, black-footed",Mustela nigripes,XN,Mammal
104,"Fox, northern swift",Vulpes velox hebes,Endangered,Mammal
105,"Fox, San Joaquin kit",Vulpes macrotis mutica,Endangered,Mammal
106,"Fox, Santa Catalina Island",Urocyon littoralis catalinae,Threatened,Mammal
107,"Fox, Simien",Canis simensis,Endangered,Mammal
108,"Gazelle, Arabian",Gazella gazella,Endangered,Mammal
109,"Gazelle, Clark's",Ammodorcas clarkei,Endangered,Mammal
110,"Gazelle, dama",Gazella dama,Endangered,Mammal
111,"Gazelle, Mhorr",Gazella dama mhorr,Endangered,Mammal
112,"Gazelle, Moroccan",Gazella dorcas massaesyla,Endangered,Mammal
113,"Gazelle, mountain (=Cuvier's)",Gazella cuvieri,Endangered,Mammal
114,"Gazelle, Rio de Oro Dama",Gazella dama lozanoi,Endangered,Mammal
115,"Gazelle, Pelzeln's",Gazella dorcas pelzelni,Endangered,Mammal
116,"Gazelle, sand",Gazella subgutturosa marica,Endangered,Mammal
117,"Gazelle, Saudi Arabian",Gazella dorcas saudiya,Endangered,Mammal
118,"Gazelle, slender-horned",Gazella leptoceros,Endangered,Mammal
119,Gibbons,Hylobates spp. (including Nomascus ),Endangered,Mammal
120,Goral,Nemorhedus goral,Endangered,Mammal
121,Gorilla,Gorilla gorilla,Endangered,Mammal
122,"Hare, hispid",Caprolagus hispidus,Endangered,Mammal
123,"Hartebeest, Swayne's",Alcelaphus buselaphus swaynei,Endangered,Mammal
124,"Hartebeest, Tora",Alcelaphus buselaphus tora,Endangered,Mammal
125,"Hog, pygmy",Sus salvanius,Endangered,Mammal
126,"Horse, Przewalski's",Equus przewalskii,Endangered,Mammal
127,"Huemul, north Andean",Hippocamelus antisensis,Endangered,Mammal
128,"Huemul, south Andean",Hippocamelus bisulcus,Endangered,Mammal
129,"Hutia, Cabrera's",Capromys angelcabrerai,Endangered,Mammal
130,"Hutia, dwarf",Capromys nana,Endangered,Mammal
131,"Hutia, large-eared",Capromys auritus,Endangered,Mammal
132,"Hutia, little earth",Capromys sanfelipensis,Endangered,Mammal
133,"Hyena, Barbary",Hyaena hyaena barbara,Endangered,Mammal
134,"Hyena, brown",Parahyaena (=Hyaena) brunnea,Endangered,Mammal
135,"Ibex, Pyrenean",Capra pyrenaica pyrenaica,Endangered,Mammal
136,"Ibex, Walia",Capra walie,Endangered,Mammal
137,"Impala, black-faced",Aepyceros melampus petersi,Endangered,Mammal
138,Indri,Indri indri(=entire genus),Endangered,Mammal
139,Jaguar,Panthera onca,Endangered,Mammal
140,"Jaguarundi, Guatemalan",Herpailurus (=Felis) yagouaroundi fossata,Endangered,Mammal
141,"Jaguarundi, Gulf Coast",Herpailurus (=Felis) yagouaroundi cacomitli,Endangered,Mammal
142,"Jaguarundi, Panamanian",Herpailurus (=Felis) yagouaroundi panamensis,Endangered,Mammal
143,"Jaguarundi, Sinaloan",Herpailurus (=Felis) yagouaroundi tolteca,Endangered,Mammal
144,"Kangaroo rat, Fresno",Dipodomys nitratoides exilis,Endangered,Mammal
145,"Kangaroo rat, giant",Dipodomys ingens,Endangered,Mammal
146,"Kangaroo rat, Morro Bay",Dipodomys heermanni morroensis,Endangered,Mammal
147,"Kangaroo rat, San Bernardino Merriam's",Dipodomys merriami parvus,Endangered,Mammal
148,"Kangaroo rat, Stephens'",Dipodomys stephensi (incl. D. cascus),Endangered,Mammal
149,"Kangaroo rat, Tipton",Dipodomys nitratoides nitratoides,Endangered,Mammal
150,"Kangaroo, Tasmanian forester",Macropus giganteus tasmaniensis,Endangered,Mammal
151,Koala,Phascolarctos cinereus,Threatened,Mammal
152,Kouprey,Bos sauveli,Endangered,Mammal
153,"Langur, capped",Trachypithecus (=Presbytis) pileatus,Endangered,Mammal
154,"Langur, Douc",Pygathrix nemaeus,Endangered,Mammal
155,"Langur, Francois'",Trachypithecus (=Presbytis) francoisi,Endangered,Mammal
156,"Langur, golden",Trachypithecus (=Presbytis) geei,Endangered,Mammal
157,"Langur, gray (=entellus)",Semnopithecus (=Presbytis) entellus,Endangered,Mammal
158,"Langur, long-tailed",Presbytis potenziani,Threatened,Mammal
159,"Langur, Pagi Island",Nasalis concolor,Endangered,Mammal
160,"Langur, purple-faced",Presbytis senex,Threatened,Mammal
161,"Lechwe, red",Kobus leche,Threatened,Mammal
162,Lemurs,"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia )",Endangered,Mammal
163,Leopard,Panthera pardus,Endangered,Mammal
164,Leopard [Southern Africa populations],Panthera pardus,Threatened,Mammal
165,"Leopard, clouded",Neofelis nebulosa,Endangered,Mammal
166,"Leopard, snow",Uncia (=Panthera) uncia,Endangered,Mammal
167,"Linsang, spotted",Prionodon pardicolor,Endangered,Mammal
168,Lion,Panthera leo leo,Endangered,Mammal
169,Lion,Panthera leo melanochaita,Threatened,Mammal
170,"Loris, lesser slow",Nycticebus pygmaeus,Threatened,Mammal
171,"Lynx, Canada [Contiguous U.S. DPS]",Lynx canadensis,Threatened,Mammal
172,"Lynx, Spanish",Felis pardina,Endangered,Mammal
173,"Macaque, Formosan rock",Macaca cyclopis,Threatened,Mammal
174,"Macaque, Japanese",Macaca fuscata,Threatened,Mammal
175,"Macaque, lion-tailed",Macaca silenus,Endangered,Mammal
176,"Macaque, stump-tailed",Macaca arctoides,Threatened,Mammal
177,"Macaque, Toque",Macaca sinica,Threatened,Mammal
178,"Manatee, Amazonian",Trichechus inunguis,Endangered,Mammal
179,"Manatee, West African",Trichechus senegalensis,Threatened,Mammal
180,"Manatee, West Indian",Trichechus manatus,Threatened,Mammal
181,Mandrill,Mandrillus (=Papio) sphinx,Endangered,Mammal
182,"Mangabey, Tana River",Cercocebus galeritus galeritus,Endangered,Mammal
183,"Mangabey, white-collared",Cercocebus torquatus,Endangered,Mammal
184,Margay,Leopardus (=Felis) wiedii,Endangered,Mammal
185,"Markhor, chiltan (=wild goat)",Capra falconeri (=aegagrus) chiltanensis,Endangered,Mammal
186,"Markhor, straight-horned",Capra falconeri megaceros,Threatened,Mammal
187,"Marmoset, buff-headed",Callithrix flaviceps,Endangered,Mammal
188,"Marmoset, cotton-top",Saguinus oedipus,Endangered,Mammal
