"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"ABGU","","Abies guatemalensis Rehder","Guatemalan fir","T"
"ABMA5","","Abronia macrocarpa L.A. Galloway","large-fruited sand-verbena","E"
"ABER","","Abutilon eremitopetalum Caum","","E"
"ABME2","","Abutilon menziesii Seem.","ko`oloa`ula","E"
"ABSA2","","Abutilon sandwicense (O. Deg.) Christoph.","","E"
"ACEX","","Acaena exigua A. Gray","liliwai","E"
"ACDU2","","Acanthomintha duttonii (Abrams) Jokerst","",""
"ACDU2","ACOBD","Acanthomintha obovata Jeps. ssp. duttonii Abrams","San Mateo thornmint","E"
"ACIL","","Acanthomintha ilicifolia (A. Gray) A. Gray","San Diego thornmint","T"
"ACMU2","","Achyranthes mutica A. Gray","","E"
"ACSPR2","","Achyranthes splendens Mart. ex Moq. var. rotundata Hillebr.","round-leaved chaff-flower","E"
"ACNO2","","Aconitum noveboracense A. Gray ex Coville","northern wild monkshood","T"
"ADPE2","","Adenophorus periens Bishop","pendant kihi fern","E"
"ADVI4","","Adiantum vivesii Proctor","","E"
"AEVI3","","Aeschynomene virginica (L.) Britton, Sterns & Poggenb.","sensitive joint-vetch","T"
"AGAC","","Agalinis acuta Pennell","sandplain gerardia","E"
"AGAR8","","Agave ×arizonica Gentry & J.Z. Weber (pro sp.) [chrysantha × toumeyana]","",""
"AGAR8","AGAR3","Agave arizonica Gentry & J.Z. Weber","Arizona agave","E"
"ALMA","","Alectryon macrococcus Radlk.","mahoe","E"
"ALMU6","","Allium munzii (Ownbey ex Traub) McNeal","Munz's onion","E"
"ALAES","","Alopecurus aequalis Sobol. var. sonomensis P. Rubtzov","Sonoma alopecurus","E"
"ALLY3","","Alsinidendron lychnoides (Hillebr.) Sherff","kuawawaenohu","E"
"ALOB4","","Alsinidendron obovatum Sherff","","E"
"ALTR5","","Alsinidendron trinerve H. Mann","","E"
"ALVI6","","Alsinidendron viscosum (H. Mann) Sherff","","E"
"ALAM5","","Alsophila amintae Conant","",""
"ALAM5","CYDR2","Cyathea dryopteroides Maxon","elfin tree fern","E"
"AMBR5","","Amaranthus brownii Christoph. & Caum","","E"
"AMPU2","","Amaranthus pumilus Raf.","seabeach amaranth","T"
"AMCH2","","Ambrosia cheiranthifolia A. Gray","South Texas ambrosia","E"
"AMPU4","","Ambrosia pumila (Nutt.) A. Gray","San Diego ambrosia","E"
"AMHEC","","Amorpha herbacea Walter var. crenulata (Rydb.) Isely","",""
"AMHEC","AMCR5","Amorpha crenulata Rydb.","crenulate lead-plant","E"
"AMPU7","","Amphianthus pusillus Torr.","little amphianthus","T"
"AMGR3","","Amsinckia grandiflora (Kleeb. ex A. Gray) Kleeb. ex Greene","large-flowered fiddleneck","E"
"AMKE","","Amsonia kearneyana Woodson","Kearney's blue-star","E"
"ANTO3","","Ancistrocactus tobuschii (W.T. Marshall) W.T. Marshall ex Backeb.","",""
"ANTO3","SCBRT","Sclerocactus brevihamatus (Engelm.) D.R. Hunt ssp. tobuschii (W.T. Marshall) N.P. Taylor","Tobusch fishhook cactus","E"
"APPR","","Apios priceana B.L. Rob.","Price's potato-bean","T"
"ARHO","","Arabis hoffmannii (Munz) Rollins","Hoffmann's rock-cress","E"
"ARMA33","","Arabis macdonaldiana Eastw.","McDonald's rock-cress","E"
"ARPE3","","Arabis perstellata E.L. Braun","Braun's rock-cress","E"
"ARSE9","","Arabis serotina Steele","shale barren rock-cress","E"
"ARHU3","","Arctomecon humilis Coville","dwarf bear-poppy","E"
"ARCO13","","Arctostaphylos confertiflora Eastw.","Santa Rosa Island manzanita","E"
"ARGLC4","","Arctostaphylos glandulosa Eastw. ssp. crassifolia (Jeps.) P.V. Wells","Del Mar manzanita","E"
"ARHOR2","","Arctostaphylos hookeri G. Don ssp. ravenii P.V. Wells","Presidio manzanita","E"
"ARMO2","","Arctostaphylos morroensis Wies. & Schreib.","Morro manzanita","T"
"ARMY","","Arctostaphylos myrtifolia Parry","Ione manzanita","T"
"ARPA21","","Arctostaphylos pallida Eastw.","pallid manzanita","T"
"ARPA7","","Arenaria paludicola B.L. Rob.","marsh sandwort","E"
"ARUR","","Arenaria ursina B.L. Rob.","Bear Valley sandwort","T"
"ARPLP","","Argemone pleiacantha Greene ssp. pinnatisecta G.B. Ownbey","Sacramento prickly poppy","E"
"ARKA2","","Argyroxiphium kauense (Rock & Neal) O. Deg. & I. Deg.","Mauna Loa silversword","E"
"ARSAM","","Argyroxiphium sandwicense DC. ssp. macrocephalum (A. Gray) Mérat","`ahinahina","T"
"ARSAS","","Argyroxiphium sandwicense DC. ssp. sandwicense","`ahinahina","E"
"ARCH4","","Aristida chaseae Hitchc.","","E"
"ARPO3","","Aristida portoricensis Pilg.","pelos del diablo","E"
"ASME","","Asclepias meadii Torr. ex A. Gray","Mead's milkweed","T"
"ASWE3","","Asclepias welshii N.H. Holmgren & P.K. Holmgren","Welsh's milkweed","T"
"ASTE11","","Asimina tetramera Small","four-petal pawpaw","E"
"ASRH3","","Asplenium rhomboideum Brack.","",""
"ASRH3","ASFRI","Asplenium fragile C. Presl var. insulare Morton","","E"
"ASSCA","","Asplenium scolopendrium L. var. americanum (Fernald) Kartesz & Gandhi","American hart's-tongue fern","T"
"ASAL4","","Astragalus albens Greene","Cushenbury milk-vetch","E"
"ASAP","","Astragalus applegatei M. Peck","Applegate's milk-vetch","E"
"ASBI6","","Astragalus bibullatus Barneby & Bridges","Guthrie's ground-plum","E"
"ASBR6","","Astragalus brauntonii Parish","Braunton's milk-vetch","E"
"ASCL6","","Astragalus clarianus Jeps.","Clara Hunt's milk-vetch","E"
